# temperature pressure enthalpy_phase1 volume_phase1 enthalpy_phase2 volume_phase2
273.333333 3000.000000 -16.074213 22.873016 -16.021960 26.234431
271.961497 2875.000000 -16.077145 22.883019 -16.027252 26.368144
271.851195 2875.000000 -16.077009 22.881357 -16.027079 26.359920
270.378024 2750.000000 -16.080028 22.892322 -16.030697 26.648989
270.367386 2750.000000 -16.080204 22.889237 -16.031161 26.463247
268.830183 2625.000000 -16.083221 22.899984 -16.034467 26.695018
268.734744 2625.000000 -16.083161 22.897755 -16.034857 26.714483
267.054120 2500.000000 -16.086185 22.907115 -16.038931 26.671079
267.108927 2500.000000 -16.086338 22.904239 -16.038311 26.865309
265.390164 2375.000000 -16.089536 22.913866 -16.044628 27.123391
265.168048 2375.000000 -16.089688 22.912753 -16.045004 27.185127
263.152822 2250.000000 -16.092850 22.923256 -16.051000 27.567860
263.163860 2250.000000 -16.093010 22.919284 -16.054253 28.239673
